;BLIND_M;BLIND_NG;BLIND_F;CONSUM_NG;DISABLE_NG;EXCON_NG;HISTAT_M;HISTAT_NG;HISTAT_F;IMMIGN_NG;IMMIGN_F;MOTHERS;SEAMEN;SOLDIERS;STRANG_NG;TRAMP_M;TRAMP_F;UNEMPL_M;UNEMPL_NG;UNEMPL_F;UNWEDMOTH;WIDOWS;WORKBOYS;WORKGIRLS;WORKMEN;WORKWOMEN
COMUNIT_R;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0
RELIEF_C;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
FINDJOB_C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SHELTER_C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASYLUM_C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JOBTRAI_C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COUNSEL_C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
RELIGIU_C;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VACATIO_C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COMUNIT_C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
